epsilon,task,metric,mean_attack_score,mean_baseline_score,mean_privacy_gain_vs_baseline,mean_relative_attack_reduction,mean_attack_advantage_over_chance,n_groups
0.1,age,accuracy,0.37295774647887325,0.6685211267605634,0.2955633802816901,0.4182442501731637,nan,20
0.1,age,balanced_accuracy,0.2491739532019705,0.5393910098522167,0.2902170566502463,0.4903925729980541,-0.000826046798029538,20
0.1,age,f1_macro,0.21584638473372558,0.5308933636997495,0.31504697896602385,0.5329395712726565,nan,20
0.1,gender,accuracy,0.5044366197183099,0.7240140845070423,0.21957746478873244,0.2845271120095866,nan,20
0.1,gender,balanced_accuracy,0.5044366197183099,0.7240140845070423,0.21957746478873244,0.2845271120095866,0.004436619718309842,20
0.1,gender,f1_macro,0.4750074772372261,0.7043497453059305,0.22934226806870436,0.29923815451868824,nan,20
0.5,age,accuracy,0.3747183098591549,0.6685211267605634,0.29380281690140847,0.41560660353239276,nan,20
0.5,age,balanced_accuracy,0.25037653940886695,0.5393910098522167,0.2890144704433497,0.4880262777530186,0.0003765394088670021,20
0.5,age,f1_macro,0.21718327128479645,0.5308933636997495,0.31371009241495296,0.5303657386873195,nan,20
0.5,gender,accuracy,0.504718309859155,0.7240140845070423,0.21929577464788735,0.28439624119764895,nan,20
0.5,gender,balanced_accuracy,0.504718309859155,0.7240140845070423,0.21929577464788735,0.28439624119764895,0.004718309859154926,20
0.5,gender,f1_macro,0.47538556417949185,0.7043497453059305,0.22896418112643863,0.29899054178982565,nan,20
1.0,age,accuracy,0.3728873239436619,0.6685211267605634,0.2956338028169015,0.4181204739937437,nan,20
1.0,age,balanced_accuracy,0.24939963054187192,0.5393910098522167,0.2899913793103448,0.4898471364351577,-0.0006003694581280764,20
1.0,age,f1_macro,0.21651586178716054,0.5308933636997495,0.31437750191258884,0.5315649780804109,nan,20
1.0,gender,accuracy,0.5029577464788731,0.7240140845070423,0.22105633802816907,0.2868601872739136,nan,20
1.0,gender,balanced_accuracy,0.5029577464788731,0.7240140845070423,0.221056338028169,0.2868601872739136,0.00295774647887323,20
1.0,gender,f1_macro,0.47366208803934234,0.7043497453059305,0.23068765726658821,0.30140672289812553,nan,20
2.0,age,accuracy,0.3738028169014084,0.6685211267605634,0.294718309859155,0.4168199690574486,nan,20
2.0,age,balanced_accuracy,0.24989501231527086,0.5393910098522167,0.2894959975369459,0.48888608659204424,-0.00010498768472907288,20
2.0,age,f1_macro,0.2166790493051795,0.5308933636997495,0.31421431439456987,0.5312415004540632,nan,20
2.0,gender,accuracy,0.5032394366197184,0.7240140845070423,0.22077464788732395,0.28643656995720157,nan,20
2.0,gender,balanced_accuracy,0.5032394366197184,0.7240140845070423,0.2207746478873239,0.28643656995720157,0.003239436619718297,20
2.0,gender,f1_macro,0.473894323126717,0.7043497453059305,0.23045542217921344,0.30108823274906277,nan,20
5.0,age,accuracy,0.38014084507042256,0.6685211267605634,0.2883802816901408,0.4081305530455637,nan,20
5.0,age,balanced_accuracy,0.2539331896551724,0.5393910098522167,0.2854578201970443,0.4819290905082518,0.003933189655172422,20
5.0,age,f1_macro,0.22050929192066898,0.5308933636997495,0.3103840717790804,0.5246949412615021,nan,20
5.0,gender,accuracy,0.5040140845070422,0.7240140845070423,0.21999999999999997,0.2849864535862995,nan,20
5.0,gender,balanced_accuracy,0.5040140845070422,0.7240140845070423,0.22000000000000003,0.28498645358629954,0.004014084507042245,20
5.0,gender,f1_macro,0.47460025193380473,0.7043497453059305,0.22974949337212575,0.2996537144727454,nan,20
10.0,age,accuracy,0.38288732394366193,0.6685211267605634,0.2856338028169014,0.4038965423190766,nan,20
10.0,age,balanced_accuracy,0.25480695812807885,0.5393910098522167,0.2845840517241379,0.4805228605057308,0.004806958128078823,20
10.0,age,f1_macro,0.22190336172220526,0.5308933636997495,0.3089900019775442,0.5220102060332941,nan,20
10.0,gender,accuracy,0.5038732394366197,0.7240140845070423,0.22014084507042259,0.2852724052570993,nan,20
10.0,gender,balanced_accuracy,0.5038732394366197,0.7240140845070423,0.22014084507042259,0.2852724052570993,0.003873239436619691,20
10.0,gender,f1_macro,0.47506002793269114,0.7043497453059305,0.22928971737323933,0.2991326087076989,nan,20
20.0,age,accuracy,0.38499999999999995,0.6685211267605634,0.2835211267605634,0.4020742992505622,nan,20
20.0,age,balanced_accuracy,0.2557176724137932,0.5393910098522167,0.2836733374384236,0.4811108776408236,0.005717672413793107,20
20.0,age,f1_macro,0.22309841367316624,0.5308933636997495,0.3077949500265832,0.5218830723606931,nan,20
20.0,gender,accuracy,0.5057746478873238,0.7240140845070423,0.21823943661971837,0.2825407174255868,nan,20
20.0,gender,balanced_accuracy,0.5057746478873238,0.7240140845070423,0.21823943661971837,0.2825407174255868,0.005774647887323922,20
20.0,gender,f1_macro,0.4762137547228364,0.7043497453059305,0.2281359905830941,0.2974072832514732,nan,20
50.0,age,accuracy,0.3973239436619719,0.6685211267605634,0.27119718309859153,0.3856816381007398,nan,20
50.0,age,balanced_accuracy,0.2650674261083744,0.5393910098522167,0.2743235837438423,0.46631457504724266,0.015067426108374393,20
50.0,age,f1_macro,0.23151375410444794,0.5308933636997495,0.2993796095953014,0.508631827537749,nan,20
50.0,gender,accuracy,0.5101408450704226,0.7240140845070423,0.2138732394366197,0.277099537523457,nan,20
50.0,gender,balanced_accuracy,0.5101408450704226,0.7240140845070423,0.2138732394366197,0.27709953752345695,0.010140845070422516,20
50.0,gender,f1_macro,0.480284157550812,0.7043497453059305,0.22406558775511853,0.2923285134075502,nan,20
100.0,age,accuracy,0.42683098591549296,0.6685211267605634,0.24169014084507046,0.3461401972345328,nan,20
100.0,age,balanced_accuracy,0.28465332512315267,0.5393910098522167,0.254737684729064,0.435134854506269,0.03465332512315271,20
100.0,age,f1_macro,0.25219422752268167,0.5308933636997495,0.27869913617706776,0.4761562476609372,nan,20
100.0,gender,accuracy,0.5209859154929577,0.7240140845070423,0.20302816901408455,0.26393091105314764,nan,20
100.0,gender,balanced_accuracy,0.5209859154929577,0.7240140845070423,0.20302816901408458,0.2639309110531477,0.0209859154929577,20
100.0,gender,f1_macro,0.49065712713784737,0.7043497453059305,0.21369261816808316,0.27979024376518236,nan,20
200.0,age,accuracy,0.472112676056338,0.6685211267605634,0.19640845070422536,0.2826001659267043,nan,20
200.0,age,balanced_accuracy,0.3136902709359606,0.5393910098522167,0.22570073891625614,0.385094461671874,0.06369027093596061,20
200.0,age,f1_macro,0.28104276058024813,0.5308933636997495,0.24985060311950127,0.42723065604019234,nan,20
200.0,gender,accuracy,0.5369718309859155,0.7240140845070423,0.18704225352112677,0.24323625392382944,nan,20
200.0,gender,balanced_accuracy,0.5369718309859156,0.7240140845070423,0.18704225352112674,0.24323625392382944,0.03697183098591549,20
200.0,gender,f1_macro,0.5069735279334944,0.7043497453059305,0.197376217372436,0.2586907971525261,nan,20
500.0,age,accuracy,0.5352112676056338,0.6685211267605634,0.1333098591549296,0.19492890953515468,nan,20
500.0,age,balanced_accuracy,0.36071305418719213,0.5393910098522167,0.17867795566502462,0.30392808557561996,0.11071305418719213,20
500.0,age,f1_macro,0.3289539363704145,0.5308933636997495,0.2019394273293349,0.34617458759826103,nan,20
500.0,gender,accuracy,0.5691549295774648,0.7240140845070423,0.15485915492957744,0.20121974625722544,nan,20
500.0,gender,balanced_accuracy,0.5691549295774647,0.7240140845070423,0.15485915492957744,0.20121974625722538,0.0691549295774648,20
500.0,gender,f1_macro,0.5425137332738807,0.7043497453059305,0.1618360120320498,0.21214580970444502,nan,20
1000.0,age,accuracy,0.5351408450704225,0.6685211267605634,0.13338028169014088,0.195023782037108,nan,20
1000.0,age,balanced_accuracy,0.360507697044335,0.5393910098522167,0.17888331280788178,0.3042859188095094,0.11050769704433498,20
1000.0,age,f1_macro,0.32861385387003994,0.5308933636997495,0.2022795098297095,0.3467411544022901,nan,20
1000.0,gender,accuracy,0.5688732394366197,0.7240140845070423,0.15514084507042253,0.201595025988537,nan,20
1000.0,gender,balanced_accuracy,0.5688732394366197,0.7240140845070423,0.15514084507042253,0.201595025988537,0.06887323943661972,20
1000.0,gender,f1_macro,0.5422757636132937,0.7043497453059305,0.16207398169263695,0.2124671065909342,nan,20
